time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-25 09:25:00,HDFCBANK,LONG,1975.30,347,685429.10,CLOSED,2025-08-25 09:51:00,1965.42,-3427.15,SL,1965.42,2014.81,False,
2025-08-25 09:25:00,MAZDOCK,SHORT,2750.00,249,684750.00,CLOSED,2025-08-25 09:54:00,2763.75,-3423.75,SL,2763.75,2695.00,False,
2025-08-25 09:25:00,BSE,LONG,2311.50,297,686515.50,CLOSED,2025-08-25 10:06:00,2299.94,-3432.58,SL,2299.94,2357.73,False,
2025-08-25 09:31:00,YESBANK,SHORT,19.66,34937,686861.42,CLOSED,2025-08-25 09:34:00,19.76,-3434.31,SL,19.76,19.27,False,
2025-08-25 09:25:00,INFY,SHORT,1508.60,455,686413.00,CLOSED,2025-08-25 09:28:00,1516.14,-3432.06,SL,1516.14,1478.43,False,
2025-08-25 09:55:00,OLAELEC,LONG,49.00,14017,686833.00,CLOSED,2025-08-25 09:57:00,48.91,-1255.92,TRAIL,48.76,49.98,True,48.91
2025-08-25 09:42:00,TCS,LONG,3126.80,219,684769.20,CLOSED,2025-08-25 15:25:00,3140.30,2956.50,EOD,3111.17,3189.34,True,3128.36
2025-08-25 09:35:00,WAAREEENER,SHORT,3090.00,222,685980.00,CLOSED,2025-08-25 09:56:00,3105.45,-3429.90,SL,3105.45,3028.20,False,
2025-08-25 09:25:00,DIVISLAB,SHORT,6210.50,110,683155.00,CLOSED,2025-08-25 09:56:00,6241.55,-3415.77,SL,6241.55,6086.29,False,
2025-08-25 09:48:00,ETERNAL,LONG,318.45,2156,686578.20,CLOSED,2025-08-25 11:17:00,321.37,6298.75,TRAIL,316.86,324.82,True,321.37
