time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-25 09:25:00,HDFCBANK,LONG,1975.30,349,CLOSED,2025-08-25 09:51:00,1965.42,-3446.90,SL
2025-08-25 09:25:00,MAZDOCK,SHORT,2750.00,250,CLOSED,2025-08-25 09:54:00,2763.75,-3437.50,SL
2025-08-25 09:25:00,BSE,LONG,2311.50,298,CLOSED,2025-08-25 10:06:00,2299.94,-3444.13,SL
2025-08-25 09:31:00,YESBANK,SHORT,19.66,35065,CLOSED,2025-08-25 09:34:00,19.76,-3446.89,SL
2025-08-25 09:25:00,INFY,SHORT,1508.60,456,CLOSED,2025-08-25 09:28:00,1516.14,-3439.61,SL
2025-08-25 09:55:00,OLAELEC,LONG,49.00,14069,CLOSED,2025-08-25 09:57:00,48.91,-1260.58,TRAIL
2025-08-25 09:42:00,TCS,LONG,3126.80,220,CLOSED,2025-08-25 15:29:00,3142.10,3366.00,EOD
2025-08-25 09:35:00,WAAREEENER,SHORT,3090.00,223,CLOSED,2025-08-25 09:56:00,3105.45,-3445.35,SL
2025-08-25 09:25:00,DIVISLAB,SHORT,6210.50,111,CLOSED,2025-08-25 09:56:00,6241.55,-3446.83,SL
2025-08-25 09:48:00,ETERNAL,LONG,318.45,2164,CLOSED,2025-08-25 11:17:00,321.37,6322.13,TRAIL
